"Date","Price","Open","High","Low","Vol.","Change %"
"07/22/1987","152.28","152.28","152.60","151.13","","0.34%"
"07/21/1987","151.76","151.76","152.74","151.59","","-0.54%"
"07/20/1987","152.60","152.60","153.45","152.13","","-0.21%"
"07/17/1987","152.91","152.91","152.99","150.69","","1.41%"
"07/16/1987","150.79","150.79","150.84","148.84","","1.35%"
"07/15/1987","148.79","148.79","151.40","148.18","","-1.55%"
"07/14/1987","151.13","151.13","151.23","150.32","","0.18%"
"07/13/1987","150.86","150.86","151.54","150.69","","0.08%"
"07/10/1987","150.74","150.74","151.23","150.25","","0.41%"
"07/09/1987","150.13","150.13","150.37","148.98","","-0.15%"
"07/08/1987","150.35","150.35","150.89","149.74","","0.11%"
"07/07/1987","150.18","150.18","150.35","148.47","","0.87%"
"07/06/1987","148.88","148.88","149.62","148.64","","0.07%"
"07/03/1987","148.79","148.79","148.84","147.22","","0.94%"
"07/02/1987","147.40","147.40","147.49","146.64","","0.35%"
"07/01/1987","146.88","146.88","146.93","146.08","","0.03%"
"06/30/1987","146.83","146.83","147.25","146.20","","0.07%"
"06/29/1987","146.74","146.74","146.79","145.78","","0.28%"
"06/26/1987","146.32","146.32","146.35","145.34","","0.13%"
"06/25/1987","146.13","146.13","146.44","144.59","","1.06%"
"06/24/1987","144.59","144.59","146.20","144.25","","-1.02%"
"06/23/1987","146.08","146.08","146.83","145.39","","-0.12%"
"06/22/1987","146.25","146.25","146.35","145.98","","1.05%"
"06/19/1987","144.73","144.73","145.10","144.15","","0.10%"
"06/18/1987","144.59","144.59","145.20","144.10","","-0.30%"
"06/17/1987","145.03","145.03","145.39","144.34","","0.17%"
"06/16/1987","144.78","144.78","144.98","143.68","","-0.07%"
"06/15/1987","144.88","144.88","144.91","143.88","","0.70%"
"06/12/1987","143.88","143.88","143.93","142.15","","1.03%"
"06/11/1987","142.41","142.41","143.00","142.12","","0.34%"
"06/10/1987","141.93","141.93","142.78","141.49","","-0.09%"
"06/09/1987","142.05","142.05","143.32","142.00","","-0.90%"
"06/08/1987","143.34","143.34","144.15","142.34","","-0.37%"
"06/05/1987","143.88","143.88","144.42","142.93","","-0.34%"
"06/04/1987","144.37","144.37","144.64","143.39","","0.70%"
"06/03/1987","143.37","143.37","143.46","140.75","","1.71%"
"06/02/1987","140.95","140.95","145.59","140.88","","-2.78%"
